Нижневартовск,,,,2,16,110,241,239,252,271,283,283,287,,https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%B6%D0%BD%D0%B5%D0%B2%D0%B0%D1%80%D1%82%D0%BE%D0%B2%D1%81%D0%BA
Йошкар-Ола,2,4,27,89,166,202,242,257,249,265,281,283,283,,https://ru.wikipedia.org/wiki/%D0%99%D0%BE%D1%88%D0%BA%D0%B0%D1%80-%D0%9E%D0%BB%D0%B0
Стерлитамак,16,25,39,112,184,221,247,264,273,280,277,,279,280,https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D1%80%D0%BB%D0%B8%D1%82%D0%B0%D0%BC%D0%B0%D0%BA
Мурманск,,9,119,222,309,382,468,336,307,302,270,270,267,,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%80%D0%BC%D0%B0%D0%BD%D1%81%D0%BA
Мытищи,,17,60,99,119,141,154,160,173,201,255,,266,,https://ru.wikipedia.org/wiki/%D0%9C%D1%8B%D1%82%D0%B8%D1%89%D0%B8
Кострома,41,74,121,172,223,255,278,279,269,277,267,,266,,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%BC%D0%B0
Новороссийск,17,68,95,93,133,159,186,232,242,267,262,262,262,,https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA
Тамбов,48,72,106,172,230,270,305,294,280,288,262,262,259,,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2
Химки,,3,23,48,85,119,133,141,207,240,257,,257,,https://ru.wikipedia.org/wiki/%D0%A5%D0%B8%D0%BC%D0%BA%D0%B8
Нальчик,,13,48,88,146,200,235,275,240,239,247,,246,,https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BB%D1%8C%D1%87%D0%B8%D0%BA
Таганрог,51,86,189,202,254,278,292,282,258,251,245,246,242,,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B3%D0%B0%D0%BD%D1%80%D0%BE%D0%B3
Нижнекамск,,,,,49,136,191,225,234,236,241,,241,,https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%B6%D0%BD%D0%B5%D0%BA%D0%B0%D0%BC%D1%81%D0%BA
Благовещенск,33,61,58,94,128,172,206,219,214,224,241,,241,,https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D0%B2%D0%B5%D1%89%D0%B5%D0%BD%D1%81%D0%BA
Комсомольск-на-Амуре,,,71,177,218,266,315,281,264,251,239,237,236,,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D1%81%D0%BE%D0%BC%D0%BE%D0%BB%D1%8C%D1%81%D0%BA-%D0%BD%D0%B0-%D0%90%D0%BC%D1%83%D1%80%D0%B5
Петрозаводск,13,26,70,135,192,236,269,266,262,277,235,,236,,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA
Люберцы,,10,48,95,135,154,165,157,173,190,224,,230,,https://ru.wikipedia.org/wiki/%D0%9B%D1%8E%D0%B1%D0%B5%D1%80%D1%86%D1%8B
